Index,Track Name,Artist Name,Album Name,Track Duration (ms),Play Count
1,Japanese Denim,Daniel Caesar,Get You - Single,270846,317
2,The Distance,San Cisco,The Water,231866,271
3,Synergy,Tash Sultana,Notion,258529,302
4,Sally,"Thundamentals, Mataya",Everyone We Know,226560,265
5,Somebody Else,VÉRITÉ,Somebody Else,233076,273
6,Season 2 Episode 3,Glass Animals,How To Be A Human Being,243509,285
7,Redbone,Childish Gambino,Awaken,6,0
8,Breezeblocks,alt-J,An Awesome Wave,227080,266
9,Sun Models (feat. Madelyn Grant),"ODESZA, Madelyn Grant",In Return,160000,187
10,I Remember,AlunaGeorge,I Remember,264760,310
11,Hoops,The Rubens,Hoops,158973,186
12,In Motion,"Allday, Japanese Wallpaper",Speeding,223053,261
13,SloMo,San Cisco,The Water,168360,197
14,Surfin',"Kid Cudi, Pharrell Williams",Surfin',238386,279
15,Drinkee,Sofi Tukker,Drinkee,299294,350
16,Your Body Is a Weapon,The Wombats,Glitterbug,237880,278
17,Heartlines,Broods,Conscious,197000,230
18,Wolfie,"Golden Features, Julia Stone",Wolfie / Funeral,203636,238
19,Ubu,Methyl Ethel,Everything Is Forgotten,302786,354
20,Twilight Driving,Methyl Ethel,Oh Inhuman Spectacle,239356,280
21,No. 28,Methyl Ethel,Everything Is Forgotten,242026,283
22,Notion,Tash Sultana,Notion,340999,399
23,Walking On A Dream,Empire of the Sun,Walking On A Dream,198440,232
24,Feels Like We Only Go Backwards,Tame Impala,Lonerism,192960,226
25,Do I Wanna Know?,Arctic Monkeys,AM,272394,319
26,Love Somebody,"Ta-ku, Wafia",Love Somebody,208421,244
27,Big Jet Plane,Angus & Julia Stone,Down The Way,239120,280
28,Someone That Loves You,"HONNE, Izzy Bizu",Warm on a Cold Night (Deluxe),244958,287
29,Adore,Amy Shark,Night Thinker - EP,185777,217
30,Worst Girl (feat. Allday),"Amy Shark, Allday",Night Thinker - EP,232496,272
31,Sleepless,"Flume, Jezzabell Doran",Flume (Deluxe Edition),209376,245
32,Drop the Game,"Flume, Nick Murphy",Lockjaw,221894,260
33,Say It - Stwo Remix,"Flume, Tove Lo, Stwo",Skin (The Remixes),266636,312
34,Holdin On,Flume,Flume,154414,181
35,Sangria - (bonus track),REMI,Raw x Infinity,199133,233
36,Chameleon,PNAU,Chameleon,198020,232
37,Dang! (feat. Anderson .Paak),"Mac Miller, Anderson .Paak",The Divine Feminine,305350,357
38,It's Strange (feat. K.Flay),"Louis The Child, K.Flay",It's Strange (feat. K.Flay),245581,287
39,Slow Down Love (feat. Chelsea Cutler),"Louis The Child, Chelsea Cutler",Love Is Alive EP,157891,185
40,LOVE. FEAT. ZACARI.,"Kendrick Lamar, Zacari",DAMN.,213400,250
41,GOT IT GOOD,"KAYTRANADA, Craig David",99.90%,228146,267
42,YOU'RE THE ONE,"KAYTRANADA, Syd",99.90%,227706,266
43,LITE SPOTS,KAYTRANADA,99.90%,230920,270
44,GLOWED UP,"KAYTRANADA, Anderson .Paak",99.90%,298026,349
45,Come Down,Anderson .Paak,Malibu,169726,199
46,Silicon Valley,Anderson .Paak,Malibu,244840,286
47,Without You (feat. Rapsody),"Anderson .Paak, Rapsody",Malibu,199346,233
48,Am I Wrong (feat. ScHoolboy Q),"Anderson .Paak, ScHoolboy Q",Malibu,253520,297
49,Heart Don't Stand a Chance,Anderson .Paak,Malibu,312360,365
50,Not a Fighter,"Airling, Tom Iansek","Hard to Sleep, Easy to Dream",256937,301
51,Electric (feat. Khalid),"Alina Baraz, Khalid",Electric (feat. Khalid),245293,287
52,Kansas,Gang of Youths,The Positions,248800,291
53,Sweet Life,Frank Ocean,channel ORANGE (Explicit Version),262680,307
54,Super Rich Kids,"Frank Ocean, Earl Sweatshirt",channel ORANGE (Explicit Version),304760,357
55,Thinkin Bout You,Frank Ocean,channel ORANGE (Explicit Version),200746,235
56,Nights,Frank Ocean,Blonde,307151,359
57,Pink + White,Frank Ocean,Blonde,184516,216
58,Get Free,"Major Lazer, Amber of Dirty Projectors",Get Free,289694,339
59,Genghis Khan,Miike Snow,Genghis Khan,212139,248
60,Take Me,RÜFÜS DU SOL,Atlas,242000,283
61,Fading,Vallis Alps,Fading,280055,328
62,High You Are,"What So Not, Branchez",OWSLA Presents EGGNOG,213340,250
63,On Hold,The xx,I See You,224133,262
64,Paradise Awaits,ZHU,THE NIGHTDAY,213443,250
65,Stressed Out,Twenty One Pilots,Blurryface,202333,237
66,Think About It,"Thundamentals, Peta And The Wolves",Everyone We Know,231653,271
67,Smiles Don’t Lie,Thundamentals,So We Can Remember,242480,284
68,On + Off,Maggie Rogers,On + Off,221533,259
69,Be About You,Winston Surfshirt,Be About You,248590,291
