Index,Track Name,Artist Name,Album Name,Track Duration (ms),Play Count
1,China In Your Hand,T'Pau,Pure Love,287520,374
2,Golden Brown,The Stranglers,The Collection 1977-1982,206760,269
3,"Forever Autumn - From Jeff Wayne's Musical Version of The War of the Worlds""""",Justin Hayward,70s 100 Hits,247466,322
4,Nights In White Satin - Single Edit,The Moody Blues,Nights In White Satin Hit Pac,264133,343
5,Hazard,Richard Marx,Greatest Hits,316733,412
6,Just Like Jesse James,Cher,Cher's Greatest Hits: 1965-1992,245600,319
7,"Baby, I Love Your Way","Big Mountain, Tom Lord-Alge",The Best Of Big Mountain,249520,324
8,Solsbury Hill - Remastered 2002,Peter Gabriel,Refugees: A Charisma Records Anthology 1969-1978,262906,342
9,The Boxer,Simon & Garfunkel,The Collection,307666,400
10,Don't Dream It's Over,Crowded House,Crowded House,236933,308
11,Everybody Wants To Rule The World,Tears For Fears,Songs From The Big Chair (Remastered With Bonus Tracks),251600,327
12,(I Just) Died In Your Arms,Cutting Crew,Pure Love,275680,358
13,Through the Barricades,Spandau Ballet,80s 100 Hits,321173,418
14,Gold,Spandau Ballet,Essential,234800,305
15,Nothing's Gonna Stop Us Now,Starship,80s 100 Hits,269466,350
16,Love Really Hurts Without You,Billy Ocean,The Collection,185253,241
17,She's Like the Wind,"Patrick Swayze, Wendy Fraser",Dirty Dancing,232240,302
18,Waiting for a Star to Fall,Boy Meets Girl,80s 100 Hits,266213,346
19,How Deep Is Your Love (2007 Remastered Saturday Night Fever LP Version),Bee Gees,Love Songs,245200,319
20,You Win Again,Bee Gees,E.S.P.,241333,314
21,You're so Vain,Carly Simon,No Secrets,258411,336
22,Everywhere,Fleetwood Mac,Tango In The Night,222733,290
23,Careless Whisper,George Michael,Ladies & Gentlemen,300106,390
24,You Can Call Me Al,Paul Simon,The Essential Paul Simon,276360,359
25,Glory of Love,Peter Cetera,Solitude / Solitaire,258120,336
26,Right Here Waiting,Richard Marx,Repeat Offender,264333,344
27,What's Love Got To Do WIth It - 1997 Digital Remaster,Tina Turner,Tina Turner Love Songs,228733,297
28,Africa,TOTO,Africa: The Best Of Toto,296186,385
29,These Dreams,Heart,Heart,254960,331
30,"Get Outta My Dreams, Get into My Car",Billy Ocean,Tear Down These Walls,333506,434
31,You Never Can Tell - 1964 Single Version / Mono,Chuck Berry,The Ultimate Chuck Berry,160866,209
32,California Dreamin',The Mamas & The Papas,All The Leaves Are Brown The Golden Era Collection,160373,208
33,Alone,Heart,Bad Animals,218733,284
34,Sometimes When We Touch,Dan Hill,Seventies Top 50 Best Ever,249013,324
35,When Will I See You Again - Single Version,The Three Degrees,70s 100 Hits,178293,232
36,The Living Years,Mike & The Mechanics,The Best Dad In The World...Ever!,328191,427
37,You're the Voice,John Farnham,80s 100 Hits,291546,379
38,I Say A Little Prayer,Aretha Franklin,Magic The Album 2007,214346,279
39,Love of the Common People,Paul Young,80s 100 Hits,214466,279
40,All I Have to Do Is Dream - Single Version; 2006 Remaster,The Everly Brothers,Definitive Pop: The Everly Brothers,140373,182
41,Don't You Want Me - 2002 - Remaster,The Human League,The Very Best Of The Human League,238000,309
42,As Long as You Love Me,Backstreet Boys,Backstreet's Back,221106,287
43,Together In Electric Dreams - 2003 - Remaster,The Human League,The Very Best Of The Human League,235426,306
44,Take On Me,a-ha,Magic The Album 2007,225053,293
45,Young Hearts Run Free,Candi Staton,Magic The Album 2007,249306,324
46,Make It With You,Bread,Magic The Album 2007,194013,252
47,Killing Me Softly with His Song,Roberta Flack,Rhino Hi-Five: Roberta Flack,286920,373
48,Dance with My Father - Album/Radio Version,Luther Vandross,Dance With My Father,266000,346
49,Candle In The Wind,Elton John,Rocket Man (Deluxe Edition),231173,301
50,Greatest Love of All,Whitney Houston,Whitney Houston,291400,379
51,Brothers In Arms,Dire Straits,The Best of Dire Straits & Mark Knopfler - Private Investigations (Limited Edition),417693,543
52,Handbags And Gladrags,"Stereophonics, Jools Holland & His Rhythm And Blues Orchestra",Decade In The Sun - Best Of Stereophonics (Deluxe),279373,363
